month,window,alpha,Mkt_RF,SMB,HML,Mom,alpha_se,Mkt_RF_se,SMB_se,HML_se,Mom_se,r2,nobs,fitted_oos,residual_oos,excess_ret,annualized_alpha
2024-03-01,24,-0.004477423455351893,1.4758122832162786,0.5025182614557369,-0.5628333846585838,0.19410523910360755,0.008415233538832919,0.17172781494842898,0.5982224685051285,0.26808256590830204,0.3889935084046783,0.8898181955930349,24.0,0.018160335037447687,-0.021560335037447687,-0.0034000000000000002,-0.05242550804696966
2024-04-01,24,-0.004544427568970159,1.476758955172055,0.49823815279431916,-0.5624715269578624,0.21504988011207304,0.008251853377221565,0.167326730943618,0.5986466407085063,0.265916713235187,0.3596844023033853,0.8846825773683146,24.0,-0.07571831078369959,-0.004281689216300316,-0.0799999999999999,-0.053190548146802796
2024-05-01,24,-0.0038343802233668815,1.4984762158791147,0.4939088215719605,-0.5048919891988153,0.22949720904343707,0.00803200658447838,0.16146702027577495,0.5873142537203958,0.278588097891797,0.35130289007407817,0.8880212395548365,24.0,0.0480307345919509,0.014069265408049106,0.0621,-0.045054495672052886
2024-06-01,24,-0.0016297355424545884,1.436988089786269,0.48670210963826577,-0.5669034462942169,0.18012676350949075,0.008025328602018364,0.17938314034723973,0.5763883092019767,0.2749633119465058,0.3549191114457906,0.8737630045785212,24.0,-0.02803680625291264,0.007136806252912742,-0.020899999999999898,-0.01938247682329175
2024-07-01,24,-0.0027454571399272154,1.4199964494152053,0.3746293682583062,-0.5831540080592535,0.174998862036146,0.00892322718741193,0.1789249818782566,0.5689086182394151,0.3378433992521714,0.35941390818566,0.8623790332445982,24.0,0.03405275657085295,-0.020552756570852954,0.013499999999999998,-0.032452533050638
2024-08-01,24,-0.003673566240385496,1.4287818012442894,0.4239511877855979,-0.5374530907598944,0.1992552630294373,0.00889779688657102,0.179840618377448,0.5896987499205399,0.33258738349076916,0.3785245309798662,0.8532429337985679,24.0,0.033954487969175426,-0.019254487969175425,0.014700000000000001,-0.043202935917892926
2024-09-01,24,-0.0058538783589569265,1.537832090014735,0.6072641845006754,-0.5300473628890076,0.26313230500510487,0.008457906239053826,0.1990525608145438,0.5915777247214411,0.32232292957853714,0.36641746207300124,0.8427204471137354,24.0,0.0071130740556146505,-0.006513074055614651,0.0005999999999999998,-0.06802841559600714
2024-10-01,24,-0.003773386899603543,1.4743436950292534,0.8218725337311859,-0.568985969590451,0.31899514322422196,0.008267543601154054,0.19450590221681424,0.6166180668564805,0.3236871897404903,0.3667284643508564,0.8390237537192565,24.0,-0.09198025108650917,0.04268025108650917,-0.049300000000000004,-0.04435262541027263
2024-11-01,24,-0.0025978759003923175,1.5719054044479914,0.6672197423206003,-0.5372393913173397,0.2659365129107507,0.007819599300066777,0.195747757891968,0.6013353307560004,0.3107116880845532,0.3458073548536036,0.8373420306376188,24.0,-0.006951196501987748,0.018151196501987748,0.0112,-0.03073291429572189
2024-12-01,24,0.0010491255962584156,1.5751853460085372,1.0562119915356791,-0.46874078757222926,0.34869264678149525,0.007727080667639463,0.19791284727831285,0.6698489431608662,0.31804103053847255,0.3659252983156429,0.8321844226858635,24.0,-0.05421763587683143,0.04021763587683143,-0.014,0.012662405655655684
2025-01-01,24,-0.001243533716029319,1.5633322281161377,1.5002582448862132,-0.45531633897333706,0.7440854949353848,0.007426706378211997,0.18659338832698155,0.6447686657003934,0.29986077390141996,0.4259000994712765,0.8304611530739868,24.0,0.039024906815171144,-0.005224906815171147,0.0338,-0.01482076564181023
2025-02-01,24,-0.0019188333878187754,1.6023041570119612,1.2964036692012617,-0.3422702032942337,0.6751221294027203,0.007821274264233076,0.19636152823445413,0.6630681448854119,0.3040669011725374,0.44772055778317155,0.8128958949916708,24.0,-0.01612133296539015,0.05032133296539015,0.0342,-0.022784541438945483
2025-03-01,24,0.0008977313123182578,1.601529001399056,1.3202817460383738,-0.44585982903213245,0.7009823455000253,0.008216562699154963,0.1865882345302757,0.5695815153446782,0.3187055360449262,0.3835858750031555,0.8220839620403356,24.0,0.02045931651495999,0.013640683485040009,0.0341,0.010826126059603647
