Trade_Date,Clean_Name,Ticker,Action,Qty,Price,Currency,FX_Rate_to_USD,Price_USD,Transaction_Value_USD
2018-05-03,Boozt Ab,BOOZT.ST,1,600.0,78.6,SEK,0.112181,8.8174,5290.44
2018-05-03,Fagerhult Ab,FAG.ST,1,200.0,89.332,SEK,0.112181,10.0213,2004.26
2018-05-03,Ovs Spa,OVS.MI,1,600.0,3.71,EUR,1.1951,4.4338,2660.28
2018-05-04,Alk Abello A S,ALK-B.CO,1,60.0,830.0,DKK,0.160932,133.5734,8014.4
2018-05-07,Disco Corporation,6146.T,1,20.0,20490.01035571,JPY,0.009162,187.7303,3754.61
2018-05-07,Askul Corp Npv,2678.T,1,100.0,3485.0,JPY,0.009162,31.9297,3192.97
2018-05-07,Disco Corporation,6146.T,1,20.0,20490.0,JPY,0.009162,187.7302,3754.6
2018-05-07,Askul Corp Npv,2678.T,1,100.0,3490.0,JPY,0.009162,31.9755,3197.55
2018-05-07,Cyberagent Inc Npv,4751.T,1,90.0,6020.0,JPY,0.009162,55.1555,4964.0
2018-05-07,Sodastream International Ltd,SODA,1,60.0,89.43,USD,1.0,89.43,5365.8
2018-05-07,Schibsted Asa A-Shares,SCHA.OL,1,200.0,228.2,NOK,0.124148,28.3306,5666.12
2018-05-07,Brunello Cucinelli Spa,BC.MI,1,200.0,28.55,EUR,1.1955,34.1315,6826.3
2018-05-07,Cyberagent Inc Npv,4751.T,1,90.0,6020.0,JPY,0.009162,55.1555,4964.0
2018-05-09,Stroeer SE and Co Kgaa,SAX.DE,1,50.0,63.0,EUR,1.186789,74.7677,3738.38
2018-05-09,Fanuc Corporation A D R,FANUY,1,200.0,21.42,USD,1.0,21.42,4284.0
2018-05-10,Hsbc Holdings Plc Spons A D R,HSBC,1,150.0,49.84,USD,1.0,49.84,7476.0
2018-05-10,Stmicroelectronics N V,STM,1,400.0,8.05214724,NOK,0.123805,0.9969,398.76
2018-05-14,Elbit Systems Ltd,ESLT,-1 ,40.0,113.97,USD,1.0,113.97,4558.8
2018-05-14,Baozun Inc Spon A D R,BZUN,1,200.0,49.51,USD,1.0,49.51,9902.0
2018-05-15,Baozun Inc Spon A D R,BZUN,1,100.0,44.89,USD,1.0,44.89,4489.0
2018-05-15,Jeol Ltd,6951.T,1,1000.0,1025.00000021,JPY,0.009113,9.341,9341.0
2018-05-16,Ferrari Nv,RACE,1,40.0,134.04,USD,1.0,134.04,5361.6
2018-05-16,Nokia Corp Spon A D R,NOK,1,1000.0,6.26,USD,1.0,6.26,6260.0
2018-05-16,Fanuc Corporation A D R,FANUY,1,200.0,21.55,USD,1.0,21.55,4310.0
2018-05-16,Keyence Corp,6861.T,1,10.0,68288.08,JPY,0.009066,619.1291,6191.29
2018-05-16,Nintendo Co Ltd Unspons A D R,NTDOY,1,100.0,52.26,USD,1.0,52.26,5226.0
2018-05-16,Hsbc Holdings Plc Spons A D R,HSBC,1,100.0,50.41,USD,1.0,50.41,5041.0
2018-05-16,Gw Pharmaceuticals A D R,GWPH,1,40.0,151.38,USD,1.0,151.38,6055.2
2018-05-16,Asos Plc,ASC.L,1,70.0,62.84,GBP,1.35002,84.8352,5938.46
2018-05-16,G5 Entertainment Ab,G5EN.ST,1,100.0,491.6,SEK,0.115019,56.5435,5654.35
2018-05-16,Biocartis Nv,BCART.BR,1,400.0,12.82,EUR,1.182089,15.1544,6061.76
2018-05-16,Ams Ag,AMS.SW,1,70.0,90.96,CHF,0.998682,90.8401,6358.81
2018-05-16,Groupe Fnac Sa,FNAC.PA,1,50.0,92.45,EUR,1.182089,109.2841,5464.2
2018-05-16,Air France Klm,AF.PA,1,600.0,7.108,EUR,1.182089,8.4023,5041.38
2018-05-16,Dustin Group Ab,DUST.ST,1,600.0,75.9,SEK,0.115019,8.73,5238.0
2018-05-16,Fagerhult Ab,FAG.ST,1,400.0,81.9,SEK,0.115019,9.4201,3768.04
2018-05-16,Ucb Sa,UCB.BR,1,70.0,64.46,EUR,1.182089,76.1975,5333.83
