Date Posted,Activity,Description,Principal Cash
04/16/19,Purchase,"Purchased 1,000 Shares Of -45,606.55 45,696.17 Lasertec Corp Net Cost 45,606.55 USD Trade Date 4/11/19 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 22.79 USD Brokerage Book Value 5,069,533 JPY Traded At 111.15800252 JPY To 1 USD Valued At 110.94 JPY For 45,696.17 USD 1,000 Shares At 5,067 JPY Transfer From Another Account",0.00
04/17/19,Purchase,"Purchased 16,978 Units Of -16,978.00 16,978.00 First Am Govt Ob Fd Cl X Trade Date 4/17/19",0.00
04/18/19,Sale,"Sold 30,866.87 Units Of 30,866.87 -30,866.87 First Am Govt Ob Fd Cl X Trade Date 4/18/19",0.00
04/22/19,Sale,"Sold 1,665.78 Units Of 1,665.78 -1,665.78 First Am Govt Ob Fd Cl X Trade Date 4/22/19 Af Poyry Ab Bta Valued At 108,900.00 SEK Book Value 108,900.00 SEK Valued At 9.26775383 SEK For 11,750.42 USD Market Value Of 0.00 USD Ca Assimilaiton From Bjxh680 To Bn791j6 Af Ab B Shs Valued At 9.26775383 SEK For 11,750.42 USD Market Value Of 0.00 USD Ca Assimilaiton From Bjxh680 To Bn791j6 Transfer From Another Account",0.00
04/25/19,Purchase,"Purchased 167,274.1 Units Of -167,274.10 167,274.10 First Am Govt Ob Fd Cl X Trade Date 4/25/19 Transfer From Another Account",0.00
04/26/19,Purchase,"Purchased 255,106.77 Units Of -255,106.77 255,106.77 First Am Govt Ob Fd Cl X Trade Date 4/26/19 16664 00- -A -UC-UZ -001-04",0.00
04/29/19,Sale,"Reversal- 30,000 Shares Of 19,644.04 -19,735.90 Zoo Digital Group Net Proceeds 19,644.04 USD Trade Date 4/25/19 Sold Through Crst 784 Jpmorgan Secs Ltd Paid 9.81- USD Brokerage Paid 1.30- USD Misc Fee1 Book Value 15,233.61 GBP Local Proceeds 15,233.61 GBP Traded At 0.77548254 GBP To 1 USD Valued At 0.771873 GBP For 19,735.90 USD 30,000 Shares At 0.5075 GBP Rev Due Fop To Dvp Lvmh Moet Hennessy Vuitton SE 4.00 EUR/Share On 250 Shares Due 4/29/19 Received 1,000.00 EUR Valued At 0.897035 EUR For 1,114.78 USD Lvmh Moet Hennessy Vuitton SE Non-USD Taxes 300.00 EUR Valued At 0.897035 EUR For 334.43 USD 30.0000000% Foreign Taxes Withheld","19,644.04"
04/29/19,Sale,Sold 700.00 Units Of 780.35 -780.35 Euro Trade Date 4/29/19 Value Date 4/29/19 Book Value 700.00 EUR Traded At 0.897035 EUR To 1 USD Valued At 0.897035 EUR For 780.35 USD Net Proceeds 780.35 USD Repatriating Lvmh Moet Hennessy Vuitton SE Transfer To Income Lvmh Moet Hennessy Vuitton SE Repatriating Lvmh Moet Hennessy Vuitton SE 16664 00- -A -UC-UZ -001-04,"21,204.74"
04/29/19,Sale,"Sold 49,777.09 Units Of 49,777.09 -49,777.09 First Am Govt Ob Fd Cl X Trade Date 4/29/19","70,891.83"
04/29/19,Purchase,"Purchased 3,000 Shares Of -30,043.05 30,375.47 Adevinta Asa A Net Cost 30,043.05 USD Trade Date 4/25/19 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 15.01 USD Brokerage Purchased On The Oslo Bors Asa Book Value 261,068.07 NOK Traded At 8.68979914 NOK To 1 USD Valued At 8.5947 NOK For 30,375.47 USD 3,000 Shares At 86.9792 NOK","40,848.78"
