Trade_Date,Clean_Name,Action,Qty,Price,Currency,Ticker
2020-10-23,Askul Corp Npv,-1,50.0,4255.0,JPY,2678.T
2020-10-26,Ryanair Holdings Plc Sp A D R,-1,4300.0,86.7656,USD,RYAAY
2020-10-27,Zur Rose Group Ag,1,1000.0,0.77095,GBP,ROSE.SW
2020-10-30,Gvc Holdings Plc,1,5000.0,9.67960137,GBP,GVC.L
2020-11-02,Gvc Holdings Plc,1,10000.0,9.4027,GBP,GVC.L
2020-11-03,Gw Pharmaceuticals A D R,1,2000.0,99.4482,USD,GWPH
2020-11-09,Capital Counties Properties Plc,1,150000.0,1.2124,GBP,CAPC.L
2020-11-12,Grupo Aeroportuario Sure Spon A D R,-1,3000.0,150.1629,USD,ASR
2020-11-16,Fnac Darty Sa,1,4500.0,43.0228,EUR,FNAC.PA
2020-11-16,Aston Martin Lagonda Global,1,297000.0,0.6979,GBP,AML.L
2020-11-23,Zoo Digital Group,1,50000.0,0.63,GBP,ZOO.L
2020-11-24,Zoo Digital Group,1,39000.0,0.64,GBP,ZOO.L
2020-11-25,Zoo Digital Group,1,75000.0,104.13,JPY,ZOO.L
2020-11-26,Zoo Digital Group,1,25000.0,104.4,JPY,ZOO.L
2020-11-30,Frontier Developments Plc,-1,4414.0,24.70350023,GBP,FDEV.L
2020-11-30,Boozt Ab,-1,10200.0,160.5525,SEK,BOOZT.ST
2020-12-08,Orpea,-1,2015.0,8.19821971,SEK,ORP.PA
2020-12-11,Tomtom,-1,28200.0,7.5315,EUR,TOM2.AS
2020-12-14,Keyence Corp,-1,510.0,103.735,JPY,6861.T
2020-12-18,Asml Holding Nv Ny Reg Shs,-1,510.0,478.0004,USD,ASML
2020-12-22,Comture Corp,1,10000.0,8.2837729,SEK,3844.T
2021-01-08,Materialise Nv A D R,-1,4500.0,78.183,USD,MTLS
2021-01-11,Ams Ag,-1,13093.0,20.80500038,CHF,AMS.SW
2021-01-11,Ams Ag,-1,13093.0,20.80500038,CHF,AMS.SW
2021-01-15,Gvc Holdings Plc,1,10000.0,14.1546,GBP,GVC.L
2021-01-18,Uuum Inc,1,5000.0,1722.68,JPY,3990.T
2021-01-19,Slm Solutions Group Ag,-1,3098.0,19.46979987,EUR,AM3D.DE
2021-01-19,Capital Counties Properties Plc,-1,118839.0,1.36500004,GBP,CAPC.L
2021-01-20,Iqe Plc,1,200000.0,0.847,GBP,IQE.L
2021-01-20,Asm International N V,1,1500.0,222.2535,EUR,ASM.AS
2021-01-20,Capital Counties Properties Plc,-1,31161.0,1.37659978,GBP,CAPC.L
2021-01-20,Slm Solutions Group Ag,-1,11952.0,19.235,EUR,AM3D.DE
2021-01-26,Interroll Holding Ag,-1,50.0,2735.0,CHF,INRN.SW
2021-01-26,Blackberry Ltd,-1,31050.0,19.5001,USD,BB
2021-01-27,Blackberry Ltd,-1,25000.0,20.695,USD,BB
2021-01-27,Blackberry Ltd,-1,10000.0,22.0,USD,BB
2021-01-27,Blackberry Ltd,-1,10000.0,24.5942,USD,BB
2021-01-29,Iqe Plc,-1,251030.0,0.79450002,GBP,IQE.L
2021-02-01,Watches Of Switzerland Group,1,30000.0,6.423,GBP,WOSG.L
2021-02-01,Frontier Developments Plc,-1,5000.0,32.5405,GBP,FDEV.L
2021-02-02,Adevinta Asa B,1,15000.0,133.4958,NOK,ADE.OL
2021-02-02,Adevinta Asa B,1,15000.0,133.49579997,NOK,ADE.OL
2021-02-02,Dermapharm Hldg,1,4000.0,60.4811,EUR,DMP.DE
2021-02-03,Asm International N V,1,500.0,222.2576,EUR,ASM.AS
2021-02-03,Dermapharm Hldg,1,4000.0,60.9209,EUR,DMP.DE
2021-02-04,Watches Of Switzerland Group,1,30000.0,6.3613,GBP,WOSG.L
2021-02-09,Moonpig Group Plc Ord,1,55000.0,4.2081,GBP,MOON.L
2021-02-10,Gw Pharmaceuticals A D R,-1,4020.0,0.719937,GBP,GWPH
2021-02-12,Mercari Inc,1,6000.0,5640.0,JPY,4385.T
2021-02-12,Moonpig Group Plc Ord,1,50000.0,4.2518,GBP,MOON.L
2021-02-15,Disco Corporation,1,1000.0,35300.0,JPY,6146.T
2021-02-16,Advantest Corp Ord(Jp),1,3900.0,9347.17948718,JPY,6857.T
2021-02-19,Ucb Sa,1,1000.0,84.238,EUR,UCB.BR
2021-02-19,Basware Oyj Npv,1,2394.0,36.2602005,EUR,BAS1V.HE
2021-02-19,Publicis Groupe,1,5000.0,47.542498,EUR,PUB.PA
2021-02-19,Umicore,1,5000.0,47.7421,EUR,UMI.BR
2021-02-19,Biocartis Nv,1,7389.0,4.48,EUR,BCART.BR
2021-02-19,Lumibird,1,811.0,16.68,EUR,LBIRD.PA
2021-02-19,Ds Smith Plc,1,30000.0,3.8174,GBP,SMDS.L
2021-02-19,Blackberry Ltd,1,25000.0,10.9,USD,BB
2021-02-19,B H P Billiton Limited A D R,1,9000.0,76.39,USD,BHP
2021-02-19,Rio Tinto Plc A D R,1,8000.0,89.22,USD,RIO
2021-02-19,Capital Counties Properties Plc,1,100000.0,1.6729,GBP,CAPC.L
2021-02-22,Yahoo Japan Corporation,1,40000.0,642.8,JPY,4689.T
2021-02-22,Uuum Inc,1,10000.0,1849.84,JPY,3990.T
2021-02-22,Rakuten Inc,1,20000.0,1126.0,JPY,4755.T
2021-02-22,Japan Elevator Ser,1,7000.0,2308.81428571,JPY,6544.T
2021-02-22,Mercari Inc,1,6000.0,5480.0,JPY,4385.T
2021-02-22,Lumibird,1,991.0,16.54299697,EUR,LBIRD.PA
2021-02-22,Basware Oyj Npv,1,1215.0,36.27240329,EUR,BAS1V.HE
2021-02-22,Biocartis Nv,1,8308.0,4.48209976,EUR,BCART.BR
2021-02-22,Cyberagent Inc Npv,1,4000.0,7000.0,JPY,4751.T
2021-02-23,Biocartis Nv,1,24303.0,4.48149981,EUR,BCART.BR
2021-02-23,Zur Rose Group Ag,1,1000.0,423.919,CHF,ROSE.SW
2021-02-23,Basware Oyj Npv,1,391.0,35.73439898,EUR,BAS1V.HE
2021-02-23,Lumibird,1,8198.0,106.43,JPY,LBIRD.PA
2021-02-24,Jazz Pharmaceuticals Plc,1,3000.0,169.4514,USD,JAZZ
2021-02-24,Amplifon Spa,1,12000.0,33.422,EUR,AMP.MI
2021-02-24,Future Plc,1,10000.0,19.48,GBP,FUTR.L
2021-02-24,Ocado Group Plc,1,10000.0,23.23,GBP,OCDO.L
2021-02-25,Aston Martin Lagonda Gbl Hldgs Plc O,1,10000.0,21.505,GBP,AML.L
2021-02-25,Raysearch Laboratories Ab,1,4750.0,93.8815,SEK,RAY.ST
2021-02-25,Raysearch Laboratories Ab,1,4750.0,0.83249995,EUR,RAY.ST
2021-02-25,Raysearch Laboratories Ab,1,4750.0,93.88149998,SEK,RAY.ST
2021-02-26,Raysearch Laboratories Ab,1,17350.0,92.50630028,SEK,RAY.ST
2021-02-26,Raysearch Laboratories Ab,1,17350.0,92.50630029,SEK,RAY.ST
2021-03-01,Zalando SE,1,2000.0,85.33643567,EUR,ZAL.DE
2021-03-01,Raysearch Laboratories Ab,1,7900.0,94.3152,SEK,RAY.ST
2021-03-01,Raysearch Laboratories Ab,1,7900.0,94.31519999,SEK,RAY.ST
2021-03-03,Amplifon Spa,1,5000.0,31.3322,EUR,AMP.MI
2021-03-04,Frontier Developments Plc,1,5320.0,23.68340038,GBP,FDEV.L
2021-03-05,Frontier Developments Plc,1,4680.0,23.618,GBP,FDEV.L
2021-03-08,Blackberry Ltd,1,25000.0,9.5649,USD,BB
2021-03-10,Hugo Boss Ag,1,10000.0,109.19,JPY,BOSS.DE
2021-03-15,Alk Abello A S,1,990.0,2378.35659596,DKK,ALK-B.CO
2021-03-22,Learning Technologies Group,1,100000.0,1.6227,GBP,LTG.L
2021-03-22,Zur Rose Group Ag,1,500.0,332.5545,CHF,ROSE.SW
2021-03-24,Jeol Ltd,1,5000.0,109.81,JPY,6951.T
2021-03-25,Pva Tepla Ag,1,12000.0,24.4232,EUR,TPE.DE
2021-03-25,Ucb Sa,-1,3000.0,78.7875,EUR,UCB.BR
2021-04-01,Ucb Sa,-1,20.0,80.6,EUR,UCB.BR
