Date Posted,Activity,Quantity,Unit Type,Asset Name,Trade Date,Broker,Price Per Unit,Principal Cash
05/14/19,Purchase,"89,046.1",Units,First Am Govt Ob Fd Cl X,5/14/19,,,"1,198.30"
05/15/19,Purchase,599.15,Units,First Am Govt Ob Fd Cl X,5/15/19,,,0.00
05/17/19,Purchase,"33,029.56",Units,First Am Govt Ob Fd Cl X,5/17/19,,9.652243 SEK,0.00
05/20/19,Sale,"17,500.00",Units,"1,813.05 -1,813.05 Swedish Krona",5/20/19,,9.652243 SEK,"3,626.10"
05/20/19,Sale,"68,097.62",Units,"68,097.62 -68,097.62 First Am Govt Ob Fd Cl X",5/20/19,,,"55,113.88"
05/20/19,Purchase,"2,000",Shares,"Ut Group Co Ltd Net Cost 51,487.78 USD",5/15/19,Jpmsgb2l Jp Morgan Sec London,"2,815 JPY","3,626.10"
05/21/19,Purchase,"1,813.05",Units,First Am Govt Ob Fd Cl X,5/21/19,,9.666757 SEK,0.00
05/22/19,Sale,"15,400.00",Units,"1,593.09 -1,593.09 Swedish Krona",5/22/19,,9.666757 SEK,"3,186.18"
05/22/19,Purchase,"5,000",Shares,"Fagerhult Ab Net Cost 220,000.00 SEK",5/22/19,"Global Corporate Actions Book Value 220,000.00 SEK Valued At 9.64565 SEK For 22,808.21 USD Fed Tax Cost Reduction 22,808.21- USD 5,000 Shares At 44 SEK Ca Rights Exercise Sedol 7Gb2399 16664 00- -A -UC-UZ -001-04",44 SEK,"-19,622.03"
05/22/19,Purchase,"220,000.00",Units,Swedish Krona,5/22/19,"Bny-Mellon Foreign Exchange Book Value 220,000.00 SEK Traded At 9.64568759 SEK To 1 USD Valued At 9.64568759 SEK For 22,808.12 USD Net Cost 22,808.12 USD Repayment Of Currency Overdraft Resulted In Fed ST Currency Gain On SEK Of 0.09 USD 220,000 Units At 1 SEK Ca Rights Exercise Sedol 7Gb2399 Fagerhult Ab Rt 5/22/19 Pay From Acct On Corp Action Valued At 9.64565 SEK For 0.00 USD Market Value Of 0.00 USD Ca Rights Exercise Sedol 7Gb2399",9.64565 SEK,"-42,430.15"
05/22/19,Sale,"21,215.03",Units,"21,215.03 -21,215.03 First Am Govt Ob Fd Cl X",5/22/19,,,"-21,215.12"
05/24/19,Purchase,"94,028.45",Units,First Am Govt Ob Fd Cl X,5/24/19,,,"-93,659.24"
05/24/19,Sale,250,Shares,"93,659.24 -76,142.78 Lvmh Moet Hennessy Vuitton SE Net Proceeds 93,659.24 USD",5/22/19,Jpmsgb2l Jp Morgan Sec London,335.9243 EUR,0.00
05/28/19,Sale,"75,389.49",Units,"75,389.49 -75,389.49 First Am Govt Ob Fd Cl X",5/28/19,,,"56,912.61"
05/28/19,Purchase,"3,000",Shares,"Quantel Net Cost 56,912.61 USD",5/24/19,Jpmsgb2l Jp Morgan Sec London,16.9283 EUR,0.00
05/30/19,Sale,"5,193.82",Units,"5,193.82 -5,193.82 First Am Govt Ob Fd Cl X",5/30/19,,,0.00
05/30/19,Sale,250,Shares,"71,288.52 -37,094.23 Shopify Inc A",5/28/19,J.P. Morgan Securities LLC,285.17 USD,"71,288.52"
05/31/19,Purchase,"71,040.2",Units,First Am Govt Ob Fd Cl X,5/31/19,,108.76 JPY,0.00
06/03/19,Sale,"18,631.00",Units,171.30 -171.30 Yen,6/3/19,,108.76 JPY,342.60
06/03/19,Sale,"11,838.2",Units,"11,838.20 -11,838.20 First Am Govt Ob Fd Cl X",6/3/19,,,"33,341.80"
06/03/19,Purchase,"2,471",Shares,"Frontier Developments Plc Net Cost 32,999.20 USD",5/30/19,Crst 784 Jpmorgan Secs Ltd,108.49 JPY,342.60
06/04/19,Sale,"142,271.00",Units,"1,311.37 -1,311.37 Yen",6/4/19,,108.49 JPY,"3,618.16"
06/04/19,Sale,"9,316.37",Units,"9,316.37 -9,316.37 First Am Govt Ob Fd Cl X",6/4/19,,,"12,686.75"
06/04/19,Purchase,743,Shares,"Frontier Developments Plc Net Cost 10,064.01 USD",5/31/19,Crst 784 Jpmorgan Secs Ltd,10.7214 GBP,"2,622.74"
06/05/19,Sale,"10,784.58",Units,"10,784.58 -10,784.58 First Am Govt Ob Fd Cl X",6/5/19,,,0.00
06/06/19,Purchase,"20,670",Units,First Am Govt Ob Fd Cl X,6/6/19,,,0.00
06/06/19,Sale,"40,175.5",Units,"40,175.50 -40,175.50 First Am Govt Ob Fd Cl X",6/6/19,,,"40,175.50"
06/06/19,Purchase,"5,000",Shares,Blackberry Ltd,6/4/19,J.P. Morgan Securities LLC,8.0251 USD,0.00
06/07/19,Sale,"7,912.26",Units,"7,912.26 -7,912.26 First Am Govt Ob Fd Cl X",6/7/19,,,"7,912.26"
06/07/19,Purchase,750,Shares,"Asos Plc Net Cost 32,141.56 USD",6/5/19,Crst 784 Jpmorgan Secs Ltd,33.6957 GBP,"-24,229.30"
06/07/19,Purchase,"20,000",Shares,"Iqe Plc Net Cost 19,322.24 USD",6/5/19,Crst 784 Jpmorgan Secs Ltd,0.7596 GBP,"-43,551.54"
06/07/19,Purchase,"1,000",Shares,"Frontier Developments Plc Net Cost 13,823.41 USD",6/5/19,Crst 784 Jpmorgan Secs Ltd,10.8683 GBP,"-57,374.95"
06/07/19,Sale,200,Shares,"57,374.95 -29,675.38 Shopify Inc A",6/5/19,J.P. Morgan Securities LLC,0.882483 EUR,0.00
06/10/19,Sale,"1,190.00",Units,"1,348.47 -1,348.47 Euro",6/7/19,,9.64564953 SEK,"2,696.94"
06/11/19,Purchase,"173,783.45",Units,First Am Govt Ob Fd Cl X,6/11/19,,,"1,281.90"
06/12/19,Purchase,"1,281.9",Units,First Am Govt Ob Fd Cl X,6/12/19,,,0.00
06/13/19,Purchase,"68,521.65",Units,First Am Govt Ob Fd Cl X,6/13/19,,108.52 JPY,0.00
06/17/19,Sale,"24,770.00",Units,228.25 -228.25 Yen,6/17/19,,108.52 JPY,456.50
06/17/19,Sale,"208,802.11",Units,"208,802.11 -208,802.11 First Am Govt Ob Fd Cl X",6/17/19,,,"225,873.61"
06/17/19,Purchase,"1,000",Shares,"Uuum Inc Net Cost 38,317.06 USD",6/12/19,Jpmsgb2l Jp Morgan Sec London,"4,150 JPY","187,556.55"
06/17/19,Purchase,"1,000",Shares,"Thk Co Ltd Net Cost 22,408.55 USD",6/12/19,Jpmsgb2l Jp Morgan Sec London,"2,427 JPY","165,148.00"
06/17/19,Purchase,"1,000",Shares,"Ut Group Co Ltd Net Cost 22,612.60 USD",6/12/19,Jpmsgb2l Jp Morgan Sec London,"2,449.1 JPY","142,535.40"
06/17/19,Purchase,"1,000",Shares,"Lasertec Corp Net Cost 37,024.44 USD",6/12/19,Jpmsgb2l Jp Morgan Sec London,"4,010 JPY","105,510.96"
06/17/19,Purchase,500,Shares,"Orpea Net Cost 58,505.30 USD",6/13/19,Jpmsgb2l Jp Morgan Sec London,103.404 EUR,"47,005.66"
06/17/19,Purchase,"10,000",Shares,"Ds Smith Plc Net Cost 46,549.16 USD",6/13/19,Crst 784 Jpmorgan Secs Ltd,108.8 JPY,456.50
06/18/19,Sale,"12,703.00",Units,116.76 -116.76 Yen,6/17/19,,108.8 JPY,461.77
06/18/19,Purchase,228.25,Units,First Am Govt Ob Fd Cl X,6/18/19,,,233.52
06/19/19,Purchase,"23,610.76",Units,First Am Govt Ob Fd Cl X,6/19/19,,,0.00
06/20/19,Purchase,"35,836.56",Units,First Am Govt Ob Fd Cl X,6/20/19,,,0.00
06/21/19,Sale,"5,104.14",Units,"5,104.14 -5,104.14 First Am Govt Ob Fd Cl X",6/21/19,,107.66 JPY,0.00
06/24/19,Sale,"25,405.00",Units,235.97 -235.97 Yen,6/24/19,,0.878996 EUR,471.94
06/25/19,Sale,"1,472.50",Units,"1,675.21 -1,675.21 Euro",6/25/19,,0.878996 EUR,"3,764.89"
